Fecha	Precio Venta ARS
30/10/2023	970
27/10/2023	990
26/10/2023	1000
25/10/2023	1000
24/10/2023	1090
23/10/2023	1002
20/10/2023	1211
19/10/2023	1000
18/10/2023	910
17/10/2023	985
16/10/2023	980
13/10/2023	980
12/10/2023	970
11/10/2023	1015
10/10/2023	1025
9/10/2023	940
6/10/2023	880
5/10/2023	843
4/10/2023	845
3/10/2023	805
2/10/2023	798
29/9/2023	800
28/9/2023	785
27/9/2023	773
26/9/2023	758
25/9/2023	745
22/9/2023	745
21/9/2023	745
20/9/2023	735
19/9/2023	740
18/9/2023	735
15/9/2023	730
14/9/2023	725
13/9/2023	735
12/9/2023	730
11/9/2023	717
8/9/2023	705
7/9/2023	720
6/9/2023	720
5/9/2023	723
4/9/2023	730
1/9/2023	730
31/8/2023	730
30/8/2023	740
29/8/2023	739
28/8/2023	738
25/8/2023	725
24/8/2023	725
23/8/2023	735
22/8/2023	725
21/8/2023	734
18/8/2023	754
17/8/2023	764
16/8/2023	780
15/8/2023	715
14/8/2023	685
11/8/2023	607
10/8/2023	602
9/8/2023	600
8/8/2023	590
7/8/2023	596
3/8/2023	577
2/8/2023	558
1/8/2023	560
31/7/2023	550
28/7/2023	551
27/7/2023	553
26/7/2023	547
25/7/2023	536
24/7/2023	550
21/7/2023	529
20/7/2023	525
19/7/2023	527
18/7/2023	520
17/7/2023	520
14/7/2023	522
13/7/2023	510
12/7/2023	503
11/7/2023	499
10/7/2023	495
7/7/2023	492
6/7/2023	491
5/7/2023	492
4/7/2023	495
3/7/2023	494
30/6/2023	493
29/6/2023	493
28/6/2023	495
27/6/2023	494
26/6/2023	493
23/6/2023	496
22/6/2023	493
21/6/2023	491
20/6/2023	492
19/6/2023	492
16/6/2023	492
15/6/2023	487
14/6/2023	496
13/6/2023	486
12/6/2023	484
9/6/2023	483
8/6/2023	484
7/6/2023	484
6/6/2023	486
5/6/2023	488
2/6/2023	490
1/6/2023	488
31/5/2023	493
30/5/2023	492
29/5/2023	492
26/5/2023	493
25/5/2023	493
24/5/2023	493
22/5/2023	490
19/5/2023	486
18/5/2023	486
17/5/2023	487
16/5/2023	488
15/5/2023	483
12/5/2023	474
11/5/2023	475
10/5/2023	471
9/5/2023	471
8/5/2023	469
5/5/2023	469
4/5/2023	468
3/5/2023	469
2/5/2023	474
28/4/2023	469
27/4/2023	467
26/4/2023	473
25/4/2023	495
24/4/2023	463
21/4/2023	442
20/4/2023	432
19/4/2023	423
18/4/2023	418
17/4/2023	400
14/4/2023	400
13/4/2023	400
12/4/2023	398
11/4/2023	393
10/4/2023	391
7/4/2023	392
6/4/2023	392
5/4/2023	392
4/4/2023	392
3/4/2023	392
31/3/2023	395
30/3/2023	393
29/3/2023	393
28/3/2023	396
27/3/2023	390
24/3/2023	389
23/3/2023	389
22/3/2023	392
21/3/2023	394
20/3/2023	385
17/3/2023	383
16/3/2023	383
15/3/2023	379
14/3/2023	377
13/3/2023	377
10/3/2023	378
9/3/2023	375
8/3/2023	377
7/3/2023	371
6/3/2023	373
3/3/2023	375
2/3/2023	376
1/3/2023	375
28/2/2023	375
27/2/2023	377
24/2/2023	379
23/2/2023	379
22/2/2023	377
17/2/2023	377
16/2/2023	377
15/2/2023	379
14/2/2023	380
13/2/2023	378
10/2/2023	377
9/2/2023	380
8/2/2023	379
7/2/2023	377
6/2/2023	377
3/2/2023	379
2/2/2023	378
1/2/2023	377
31/1/2023	382
30/1/2023	383
27/1/2023	386
26/1/2023	385
25/1/2023	383
24/1/2023	381
23/1/2023	376
20/1/2023	375
19/1/2023	375
18/1/2023	376
17/1/2023	378
16/1/2023	369
13/1/2023	369
12/1/2023	362
11/1/2023	359
10/1/2023	357
9/1/2023	356
6/1/2023	354
5/1/2023	353
4/1/2023	354
3/1/2023	354
2/1/2023	345
30/12/2022	346
29/12/2022	350
28/12/2022	357
27/12/2022	355
26/12/2022	346
23/12/2022	340
22/12/2022	330
21/12/2022	325
20/12/2022	326
19/12/2022	321
16/12/2022	321
15/12/2022	320
14/12/2022	315
13/12/2022	315
12/12/2022	313
9/12/2022	316
8/12/2022	316
7/12/2022	316
6/12/2022	314
5/12/2022	312
1/12/2022	313
30/11/2022	314
29/11/2022	316
28/11/2022	318
25/11/2022	320
24/11/2022	319
23/11/2022	312
22/11/2022	308
21/11/2022	306
18/11/2022	306
17/11/2022	307
